Accion,Fecha,Precio
YPF,2014-12-31,26.47
YPF,2014-12-30,26.91
YPF,2014-12-29,26.98
YPF,2014-12-26,26.83
YPF,2014-12-24,26.82
YPF,2014-12-23,27.44
YPF,2014-12-22,24.71
YPF,2014-12-19,24.22
YPF,2014-12-18,24.37
YPF,2014-12-17,24.43
YPF,2014-12-16,23.22
YPF,2014-12-15,22.5
YPF,2014-12-12,24.04
YPF,2014-12-11,26.81
YPF,2014-12-10,26.62
YPF,2014-12-09,28.15
YPF,2014-12-08,29.2
YPF,2014-12-05,30.84
YPF,2014-12-04,31.19
YPF,2014-12-03,31.44
YPF,2014-12-02,31.04
YPF,2014-12-01,32.29
YPF,2014-11-28,33.44
YPF,2014-11-26,35.31
YPF,2014-11-25,35.27
YPF,2014-11-24,34.74
YPF,2014-11-21,34.31
YPF,2014-11-20,33.61
YPF,2014-11-19,33.11
YPF,2014-11-18,32.69
YPF,2014-11-17,33.17
YPF,2014-11-14,32.96
YPF,2014-11-13,33.15
YPF,2014-11-12,33.48
YPF,2014-11-11,33.99
YPF,2014-11-10,34.13
YPF,2014-11-07,34.09
YPF,2014-11-06,33.94
YPF,2014-11-05,33.58
YPF,2014-11-04,33.36
YPF,2014-11-03,35.42
YPF,2014-10-31,35.17
YPF,2014-10-30,32.57
YPF,2014-10-29,31.77
YPF,2014-10-28,31.74
YPF,2014-10-27,31.93
YPF,2014-10-24,32.15
YPF,2014-10-23,32.12
YPF,2014-10-22,32.47
YPF,2014-10-21,32.89
YPF,2014-10-20,31.39
YPF,2014-10-17,31.32
YPF,2014-10-16,30.26
YPF,2014-10-15,30.01
YPF,2014-10-14,30.8
YPF,2014-10-13,30.67
YPF,2014-10-10,31.28
YPF,2014-10-09,31.46
YPF,2014-10-08,32.85
YPF,2014-10-07,32.16
YPF,2014-10-06,33.52
YPF,2014-10-03,33.72
YPF,2014-10-02,33.31
YPF,2014-10-01,34.51
YPF,2014-09-30,36.99
YPF,2014-09-29,36.88
YPF,2014-09-26,37.08
YPF,2014-09-25,35.81
YPF,2014-09-24,37.22
YPF,2014-09-23,36.83
YPF,2014-09-22,36.26
YPF,2014-09-19,36.51
YPF,2014-09-18,36.53
YPF,2014-09-17,36.88
YPF,2014-09-16,37.55
YPF,2014-09-15,35.69
YPF,2014-09-12,35.69
YPF,2014-09-11,35.4
YPF,2014-09-10,34.84
YPF,2014-09-09,34.24
YPF,2014-09-08,34.16
YPF,2014-09-05,34.98
YPF,2014-09-04,34.98
YPF,2014-09-03,35.68
YPF,2014-09-02,33.71
YPF,2014-08-29,33.04
YPF,2014-08-28,33.04
YPF,2014-08-27,33.31
YPF,2014-08-26,33.4
